0,cn,0,0,0,0,466351433,0,0
1,bj,603,915,121363,121363,435348307,39.908065,116.411502
2,sh,814,1426,109571,104463,435855321,31.232844,121.47537
3,gz,310,436,71146,75544,435919851,23.111459,113.324103
4,sz,252,338,36847,36847,505814579,22.541455,114.052827
5,hk,220,344,42587,38335,445095325,22.284659,114.158185
6,nj,174,188,28846,26398,505815705,32.040995,118.78408
7,tb,252,388,55585,51202,552250874,25.046256,121.51753
8,tj,192,218,22742,21442,466351433,39.137775,117.21161
9,wh,150,164,28539,28247,466351433,30.585299,114.286584
10,cd,94,98,12950,13796,466351433,30.658071,104.065798
11,cq,224,260,34681,34681,466351433,29.552992,106.548273
12,sy,84,88,10710,10941,466351433,41.792353,123.433386
13,hz,122,122,12005,12005,466351433,30.279156,120.165666
14,su,88,92,10195,11265,466351433,31.29273,120.549292
15,xa,76,80,10768,11892,466351433,34.269878,108.947143
16,zz,38,36,3914,4370,466351433,34.746867,113.655446
17,wx,88,92,8536,8536,466351433,31.589211,120.306895